Entry_ID,Title,Price_INR,City,Property_Type,Total_Tags,basic_tags,advanced_tags,city_tag,state_tag,Top_5_Tags,Tag_Details,Categories,Web_Enhanced
r436675,Aurum Alumni Bliss,27500000.0,Sector 22D Yamuna Expressway,Apartment,0,,,sector 22d yamuna expressway,,,,,No
r454311,Express Zenith Tower A,26399998.0,Sector 77,Apartment,0,,,sector 77,,,,,No
r440690,Ace Acreville,30000000.0,Sector 22A Yamuna Expressway,Land,0,,,sector 22a yamuna expressway,,,,,No
r436912,VVIP Addresses Greater Noida,35858442.0,Sector-12,Apartment,0,,,sector-12,,,,,No
r416826,Trecento Residencies by Gaurs,125000000.0,Jaypee Greens,Apartment,0,,,jaypee greens,,,,,No
r395716,Fusion The Brook,11150000.0,Sector-12,Apartment,0,,,sector-12,,,,,No
r402728,Sublime Spring Elmas,16260000.0,Sector-12,Apartment,0,,,sector-12,,,,,No
r430588,CRC Maesta,32500000.0,Sector 1 Greater Noida West,Apartment,0,,,sector 1 greater noida west,,,,,No
r409011,Fusion The Rivulet,11001000.0,Sector-12,Apartment,0,,,sector-12,,,,,No
r410958,Max Estates 128,113485920.0,Sector 128,Apartment,0,,,sector 128,,,,,No
r384794,RG Mirage,30520000.0,Sector 120,Apartment,0,,,sector 120,,,,,No
r446528,Godrej Sora,83100000.0,Sector 53,Apartment,0,,,sector 53,,,,,No
r432550,TARC Ishva,77000000.0,Sector 63A,Apartment,0,,,sector 63a,,,,,No
r424460,M3M Mansion,36036000.0,Sector 113,Apartment,0,,,sector 113,,,,,No
r444331,Signature Global Cloverdale SPR,38757500.0,Sector 71,Apartment,0,,,sector 71,,,,,No
r404070,DLF The Arbour,84925000.0,Sector 63,Apartment,0,,,sector 63,,,,,No
r438244,Indiabulls Estate and Club,39899999.0,Sector 104,Apartment,0,,,sector 104,,,,,No
r422937,Krisumi Waterside Residences,44370000.0,Sector 36A,Apartment,0,,,sector 36a,,,,,No
r433274,Signature Global Daxin Vistas,21000000.0,Sohna,House,1,,villa,sohna,,villa,villa(0.30),property_type,No
r442988,ROF Pravasa,24000000.0,Sector 88A,Apartment,0,,,sector 88a,,,,,No
r433317,Max Estate 360,54831000.0,Sector 36A,Apartment,0,,,sector 36a,,,,,No
r318679,Hero Homes,15935500.0,Sector 104,Apartment,0,,,sector 104,,,,,No
r444343,Runwal Raaya,109900000.0,Worli,Apartment,0,,,worli,,,,,No
r426835,Tricity Aspire,11200000.0,Kharghar,Apartment,0,,,kharghar,,,,,No
r425106,Ruparel Stardom,23500001.0,Evershine Nagar,Apartment,0,,,evershine nagar,,,,,No
r382672,Mahaavir Exotique,5400872.0,Kharghar,Apartment,1,,villa,kharghar,,villa,villa(0.30),property_type,No
r422558,Godrej Reserve,25400521.0,Kandivali East,Apartment,0,,,kandivali east,,,,,No
r430268,Raheja Lunaris,10514876.0,Juinagar,Apartment,0,,,juinagar,,,,,No
r88315,Ruparel Vivanza,25500000.0,Byculla,Apartment,0,,,byculla,,,,,No
r403694,Raheja Modern Vivarea,125175000.0,Mahalaxmi,Apartment,0,,,mahalaxmi,,,,,No
r404243,Lodha Divino,37746933.0,Matunga,Apartment,0,,,matunga,,,,,No
r403096,Codename Cloud City,5871558.0,Kharghar,Apartment,0,,,kharghar,,,,,No
r447590,Paramount By Gala Habitats,37920000.0,Matunga East,Apartment,0,,,matunga east,,,,,No
r434130,Ruparel Urbana,9490000.0,Kurla,Apartment,0,,,kurla,,,,,No
r416159,Lodha Mirabelle ,14900002.0,Hebbal,Apartment,0,,,hebbal,,,,,No
