Entry_ID,Title,Price_INR,City,Property_Type,Total_Tags,Top_5_Tags,Tag_Details,Categories,Web_Enhanced
r436675,Aurum Alumni Bliss,27500000,Sector 22D Yamuna Expressway,Apartment,9,"apartment, sector_location, premium, highway_access, studio",apartment(0.99) | sector_location(0.83) | premium(0.74) | highway_access(0.74) | studio(0.22) | 2bhk(0.18) | 3bhk(0.17) | 4bhk(0.16) | parking_available(0.15),"location, amenity, bedrooms, property_type, price_range",No
r454311,Express Zenith Tower A,26399998,Sector 77,Apartment,7,"apartment, sector_location, premium, 3bhk, 2bhk",apartment(0.98) | sector_location(0.86) | premium(0.77) | 3bhk(0.20) | 2bhk(0.19) | studio(0.18) | 4bhk(0.17),"bedrooms, property_type, location, price_range",No
r440690,Ace Acreville,30000000,Sector 22A Yamuna Expressway,Land,5,"sector_location, premium, highway_access, plot, 3bhk",sector_location(0.86) | premium(0.72) | highway_access(0.70) | plot(0.45) | 3bhk(0.16),"bedrooms, property_type, location, price_range",No
r436912,VVIP Addresses Greater Noida,35858442,Sector-12,Apartment,8,"apartment, sector_location, premium, studio, 2bhk",apartment(0.98) | sector_location(0.84) | premium(0.75) | studio(0.19) | 2bhk(0.16) | 3bhk(0.16) | highway_access(0.16) | 4bhk(0.15),"bedrooms, property_type, location, price_range",No
r416826,Trecento Residencies by Gaurs,125000000,Jaypee Greens,Apartment,7,"apartment, luxury, 2bhk, studio, 3bhk",apartment(1.00) | luxury(0.75) | 2bhk(0.22) | studio(0.21) | 3bhk(0.20) | 4bhk(0.19) | 1bhk(0.16),"bedrooms, property_type, price_range",No
r395716,Fusion The Brook,11150000,Sector-12,Apartment,9,"apartment, premium, sector_location, studio, 2bhk",apartment(1.00) | premium(0.76) | sector_location(0.59) | studio(0.21) | 2bhk(0.19) | 3bhk(0.19) | 4bhk(0.18) | 1bhk(0.16) | parking_available(0.16),"location, amenity, bedrooms, property_type, price_range",No
r402728,Sublime Spring Elmas,16260000,Sector-12,Apartment,6,"apartment, premium, sector_location, studio, luxury",apartment(0.97) | premium(0.79) | sector_location(0.57) | studio(0.21) | luxury(0.16) | 2bhk(0.15),"bedrooms, property_type, location, price_range",No
r430588,CRC Maesta,32500000,Sector 1 Greater Noida West,Apartment,8,"apartment, sector_location, premium, plot, studio",apartment(0.96) | sector_location(0.87) | premium(0.74) | plot(0.44) | studio(0.18) | 2bhk(0.17) | 3bhk(0.17) | 4bhk(0.16),"bedrooms, property_type, location, price_range",No
r409011,Fusion The Rivulet,11001000,Sector-12,Apartment,7,"apartment, sector_location, premium, studio, 2bhk",apartment(0.99) | sector_location(0.85) | premium(0.78) | studio(0.19) | 2bhk(0.18) | 3bhk(0.18) | 4bhk(0.17),"bedrooms, property_type, location, price_range",No
r410958,Max Estates 128,113485920,Sector 128,Apartment,9,"apartment, sector_location, luxury, plot, highway_access",apartment(0.99) | sector_location(0.86) | luxury(0.74) | plot(0.46) | highway_access(0.40) | studio(0.20) | 2bhk(0.19) | 3bhk(0.18) | 4bhk(0.17),"bedrooms, property_type, location, price_range",No
